P68400	58315140	1
P68400	68335640	1
O00408	71488867	1
Q9Y5Z0	66547492	1
P52333	50997115	1
P35916	9809715	1
P07333	46223479	1
Q92731	91290528	1
P31749	56645652	1
P35968	5329022	1
P35968	5330156	1
P50750	90411750	1
P28482	118365076	1
P49841	25015809	1
P06493	11581204	1
P04629	67501161	1
P00519	46207586	1
P53634	90430786	1
P24941	6539022	1
P28482	118380937	1
P28482	73505651	1
P17948	5329010	1
P49841	6539585	1
P13866	89476752	1
P35968	5329428	1
Q9NWZ3	118206440	1
P78527	56592698	1
O00329	66677222	1
Q07343	880974	1
P49841	123131595	1
P16473	25205227	1
P21731	9801735	1
Q00987	68000111	1
P25774	23648435	1
Q96GD4	70702157	1
P53634	90430440	1
Q16539	23647345	1
P52333	91669297	1
P00797	91928991	1
O60563	68405347	1
P05556	10188054	1
P22303	122164705	1
O00329	56933328	1
O15530	67476333	1
P11802	58300115	1
Q96PD7	117966336	1
P23975	49805275	1
O15530	67476219	1
P41145	16094420	1
P04629	58386342	1
P34913	2982952	1
P12931	5330482	1
P00533	5328392	1
Q07912	49782469	1
P31749	117704714	1
O76074	44280486	1
Q9NWZ3	66555790	1
Q96PY6	91825427	1
Q05397	58522540	1
P53634	90430744	1
P52333	71264174	1
P04629	58334532	1
P04629	91618200	1
P27815	23218492	1
Q13393	53470195	1
P12931	118235983	1
Q16539	23647319	1
P11309	44217838	1
Q15858	71454678	1
Q96GD4	57340658	1
P51449	85470415	1
Q13443	9888017	1
O00763	91668689	1
Q05397	59612582	1
P56817	44318084	1
P04035	67869518	1
Q15119	59493001	1
P37231	71075322	1
P22303	90655188	1
P49682	71679147	1
P11802	58299640	1
P53634	90430751	1
P24941	57339743	1
Q14680	68092294	1
P31749	68082589	1
Q13639	122198583	1
P51843	3033718	1
P04629	58386310	1
P68400	67216648	1
P53355	44259	1
Q05397	46208360	1
P52333	86301461	1
O14757	11338178	1
P56817	71542873	1
Q9Y233	53328634	1
P36897	54771760	1
P31639	60169230	1
Q96GD4	66763754	1
P23443	46869105	1
P04629	11978451	1
P10415	112500299	1
P56817	25190495	1
P13866	89477003	1
P68400	68336113	1
P13866	89476934	1
Q16539	9999342	1
P00797	10324039	1
P31749	89450756	1
Q15858	86687386	1
P32239	44377486	1
Q9Y233	53250196	1
P00374	11538533	1
P56524	71230701	1
P07333	24937877	1
Q00987	86766868	1
P24557	10451585	1
P34969	19426635	1
P04629	90683726	1
P23946	57671025	1
Q05397	58522641	1
P31749	89450689	1
Q9NWZ3	118206534	1
P46095	118159229	1
Q96S37	117653143	1
Q07869	3392731	1
Q13946	57698135	1
Q9Y233	58548246	1
Q9Y233	91799436	1
Q8NER1	89649910	1
Q16539	12967034	1
Q02763	16109000	1
